2025-11-13 12:27:24,638 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=0
2025-11-13 12:27:24,638 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=1
2025-11-13 12:27:24,638 | src.transformations.data_quality | ERROR | Data quality issue: 1 rows with non-positive quantity
2025-11-13 12:29:37,130 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 12:29:37,167 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 12:29:37,169 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 12:29:37,172 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 12:29:37,172 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 12:29:37,179 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 12:29:37,179 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 12:29:37,179 | src.orchestration.pipeline | INFO | Step 4: Saving processed CSV...
2025-11-13 12:29:37,185 | src.orchestration.pipeline | INFO | Saved processed data to C:\Users\devra\ecommerce-data-pipeline\data\processed\orders_clean.csv
2025-11-13 12:29:37,185 | src.orchestration.pipeline | INFO | Step 5: Creating schema...
2025-11-13 12:29:37,220 | src.orchestration.pipeline | INFO | Schema created (if not already present).
2025-11-13 12:29:37,220 | src.orchestration.pipeline | INFO | Step 6: Loading dimension tables...
2025-11-13 12:29:37,292 | src.orchestration.pipeline | INFO | Loaded dim_customers and dim_products.
2025-11-13 12:29:37,292 | src.orchestration.pipeline | INFO | Step 7: Loading fact_orders table...
2025-11-13 12:29:37,329 | src.orchestration.pipeline | INFO | Loaded fact_orders.
2025-11-13 12:29:37,329 | src.orchestration.pipeline | INFO | Pipeline completed successfully.
2025-11-13 12:29:53,652 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=0
2025-11-13 12:29:53,661 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=1
2025-11-13 12:29:53,661 | src.transformations.data_quality | ERROR | Data quality issue: 1 rows with non-positive quantity
2025-11-13 15:06:54,913 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:06:54,918 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:06:54,919 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:06:54,924 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:06:54,924 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:06:54,926 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:06:54,926 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:06:54,927 | src.orchestration.pipeline | INFO | Step 4: Saving processed CSV...
2025-11-13 15:06:54,927 | src.orchestration.pipeline | INFO | Saved processed data to C:\Users\devra\ecommerce-data-pipeline\data\processed\orders_clean.csv
2025-11-13 15:06:54,927 | src.orchestration.pipeline | INFO | Step 5: Creating schema...
2025-11-13 15:06:54,957 | src.orchestration.pipeline | INFO | Schema created (if not already present).
2025-11-13 15:06:54,957 | src.orchestration.pipeline | INFO | Step 6: Loading dimension tables...
2025-11-13 15:06:55,010 | src.orchestration.pipeline | INFO | Loaded dim_customers and dim_products.
2025-11-13 15:06:55,010 | src.orchestration.pipeline | INFO | Step 7: Loading fact_orders table...
2025-11-13 15:06:55,036 | src.orchestration.pipeline | INFO | Loaded fact_orders.
2025-11-13 15:06:55,036 | src.orchestration.pipeline | INFO | Pipeline completed successfully.
2025-11-13 15:06:56,378 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:06:56,384 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:06:56,384 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:06:56,405 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:06:56,408 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:06:56,409 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:06:56,410 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:06:56,411 | src.orchestration.pipeline | INFO | Step 4: Saving processed CSV...
2025-11-13 15:06:56,417 | src.orchestration.pipeline | INFO | Saved processed data to C:\Users\devra\ecommerce-data-pipeline\data\processed\orders_clean.csv
2025-11-13 15:06:56,417 | src.orchestration.pipeline | INFO | Step 5: Creating schema...
2025-11-13 15:06:56,458 | src.orchestration.pipeline | INFO | Schema created (if not already present).
2025-11-13 15:06:56,459 | src.orchestration.pipeline | INFO | Step 6: Loading dimension tables...
2025-11-13 15:06:56,527 | src.orchestration.pipeline | INFO | Loaded dim_customers and dim_products.
2025-11-13 15:06:56,527 | src.orchestration.pipeline | INFO | Step 7: Loading fact_orders table...
2025-11-13 15:06:56,550 | src.orchestration.pipeline | INFO | Loaded fact_orders.
2025-11-13 15:06:56,551 | src.orchestration.pipeline | INFO | Pipeline completed successfully.
2025-11-13 15:08:19,628 | __main__ | INFO | Starting pipeline (dry_run=False)
2025-11-13 15:08:19,628 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:08:19,639 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:08:19,639 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:08:19,639 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:08:19,639 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:08:19,639 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:08:19,639 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:08:19,650 | src.orchestration.pipeline | INFO | Step 4: Saving processed CSV...
2025-11-13 15:08:19,652 | src.orchestration.pipeline | INFO | Saved processed data to C:\Users\devra\ecommerce-data-pipeline\data\processed\orders_clean.csv
2025-11-13 15:08:19,652 | src.orchestration.pipeline | INFO | Step 5: Creating schema...
2025-11-13 15:08:19,681 | src.orchestration.pipeline | INFO | Schema created (if not already present).
2025-11-13 15:08:19,681 | src.orchestration.pipeline | INFO | Step 6: Loading dimension tables...
2025-11-13 15:08:19,727 | src.orchestration.pipeline | INFO | Loaded dim_customers and dim_products.
2025-11-13 15:08:19,727 | src.orchestration.pipeline | INFO | Step 7: Loading fact_orders table...
2025-11-13 15:08:19,749 | src.orchestration.pipeline | INFO | Loaded fact_orders.
2025-11-13 15:08:19,753 | src.orchestration.pipeline | INFO | Table dim_customers row count: 4
2025-11-13 15:08:19,754 | src.orchestration.pipeline | INFO | Table dim_products row count: 4
2025-11-13 15:08:19,755 | src.orchestration.pipeline | INFO | Table fact_orders row count: 5
2025-11-13 15:08:19,756 | src.orchestration.pipeline | INFO | Pipeline completed successfully.
2025-11-13 15:08:40,631 | __main__ | INFO | Starting pipeline (dry_run=True)
2025-11-13 15:08:40,631 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:08:40,638 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:08:40,639 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:08:40,643 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:08:40,644 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:08:40,646 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:08:40,647 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:08:40,647 | src.orchestration.pipeline | INFO | Dry-run mode: skipping file save and database load. Pipeline stops after validation.
2025-11-13 15:09:25,843 | __main__ | INFO | Starting pipeline (dry_run=False)
2025-11-13 15:09:25,844 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:09:25,849 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:09:25,849 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:09:25,856 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:09:25,856 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:09:25,858 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:09:25,859 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:09:25,860 | src.orchestration.pipeline | INFO | Step 4: Saving processed CSV...
2025-11-13 15:09:25,863 | src.orchestration.pipeline | INFO | Saved processed data to C:\Users\devra\ecommerce-data-pipeline\data\processed\orders_clean.csv
2025-11-13 15:09:25,864 | src.orchestration.pipeline | INFO | Step 5: Creating schema...
2025-11-13 15:09:25,888 | src.orchestration.pipeline | INFO | Schema created (if not already present).
2025-11-13 15:09:25,889 | src.orchestration.pipeline | INFO | Step 6: Loading dimension tables...
2025-11-13 15:09:25,935 | src.orchestration.pipeline | INFO | Loaded dim_customers and dim_products.
2025-11-13 15:09:25,936 | src.orchestration.pipeline | INFO | Step 7: Loading fact_orders table...
2025-11-13 15:09:25,959 | src.orchestration.pipeline | INFO | Loaded fact_orders.
2025-11-13 15:09:25,962 | src.orchestration.pipeline | INFO | Table dim_customers row count: 4
2025-11-13 15:09:25,962 | src.orchestration.pipeline | INFO | Table dim_products row count: 4
2025-11-13 15:09:25,964 | src.orchestration.pipeline | INFO | Table fact_orders row count: 5
2025-11-13 15:09:25,966 | src.orchestration.pipeline | INFO | Pipeline completed successfully.
2025-11-13 15:09:45,700 | __main__ | INFO | Starting pipeline (dry_run=True)
2025-11-13 15:09:45,701 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:09:45,706 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:09:45,707 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:09:45,712 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:09:45,712 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:09:45,714 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:09:45,715 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:09:45,716 | src.orchestration.pipeline | INFO | Dry-run mode: skipping file save and database load. Pipeline stops after validation.
2025-11-13 15:20:20,502 | __main__ | INFO | Starting pipeline (dry_run=True)
2025-11-13 15:20:20,502 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:20:20,504 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:20:20,504 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:20:20,515 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:20:20,516 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:20:20,517 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:20:20,518 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:20:20,519 | src.orchestration.pipeline | INFO | Dry-run mode: skipping file save and database load. Pipeline stops after validation.
2025-11-13 15:20:20,521 | src.orchestration.pipeline | INFO | Wrote run summary to C:\Users\devra\ecommerce-data-pipeline\logs\run_summary.json
2025-11-13 15:21:04,207 | __main__ | INFO | Starting pipeline (dry_run=False)
2025-11-13 15:21:04,208 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:21:04,214 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:21:04,227 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:21:04,237 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:21:04,237 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:21:04,238 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:21:04,239 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:21:04,239 | src.orchestration.pipeline | INFO | Step 4: Saving processed CSV...
2025-11-13 15:21:04,243 | src.orchestration.pipeline | INFO | Saved processed data to C:\Users\devra\ecommerce-data-pipeline\data\processed\orders_clean.csv
2025-11-13 15:21:04,243 | src.orchestration.pipeline | INFO | Step 5: Creating schema...
2025-11-13 15:21:04,267 | src.orchestration.pipeline | INFO | Schema created (if not already present).
2025-11-13 15:21:04,268 | src.orchestration.pipeline | INFO | Step 6: Loading dimension tables...
2025-11-13 15:21:04,315 | src.orchestration.pipeline | INFO | Loaded dim_customers and dim_products.
2025-11-13 15:21:04,316 | src.orchestration.pipeline | INFO | Step 7: Loading fact_orders table...
2025-11-13 15:21:04,333 | src.orchestration.pipeline | INFO | Loaded fact_orders.
2025-11-13 15:21:04,333 | src.orchestration.pipeline | INFO | Table dim_customers row count: 4
2025-11-13 15:21:04,333 | src.orchestration.pipeline | INFO | Table dim_products row count: 4
2025-11-13 15:21:04,333 | src.orchestration.pipeline | INFO | Table fact_orders row count: 5
2025-11-13 15:21:04,333 | src.orchestration.pipeline | INFO | Wrote run summary to C:\Users\devra\ecommerce-data-pipeline\logs\run_summary.json
2025-11-13 15:21:04,344 | src.orchestration.pipeline | INFO | Pipeline completed successfully.
2025-11-13 15:21:39,812 | __main__ | INFO | Starting pipeline (dry_run=True)
2025-11-13 15:21:39,812 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:21:39,818 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:21:39,818 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:21:39,824 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:21:39,825 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:21:39,827 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:21:39,827 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:21:39,827 | src.orchestration.pipeline | INFO | Dry-run mode: skipping file save and database load. Pipeline stops after validation.
2025-11-13 15:21:39,827 | src.orchestration.pipeline | INFO | Wrote run summary to C:\Users\devra\ecommerce-data-pipeline\logs\run_summary.json
2025-11-13 15:21:47,158 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=0
2025-11-13 15:21:47,161 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=1
2025-11-13 15:21:47,161 | src.transformations.data_quality | ERROR | Data quality issue: 1 rows with non-positive quantity
2025-11-13 15:21:47,165 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 15:21:47,168 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 15:21:47,168 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 15:21:47,172 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 15:21:47,172 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 15:21:47,173 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 15:21:47,173 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 15:21:47,173 | src.orchestration.pipeline | INFO | Dry-run mode: skipping file save and database load. Pipeline stops after validation.
2025-11-13 15:21:47,178 | src.orchestration.pipeline | INFO | Wrote run summary to C:\Users\devra\ecommerce-data-pipeline\logs\run_summary.json
2025-11-13 23:37:28,211 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=0
2025-11-13 23:37:28,213 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=1
2025-11-13 23:37:28,213 | src.transformations.data_quality | ERROR | Data quality issue: 1 rows with non-positive quantity
2025-11-13 23:37:28,220 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 23:37:28,220 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 23:37:28,220 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 23:37:28,220 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 23:37:28,220 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 23:37:28,220 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 23:37:28,220 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 23:37:28,220 | src.orchestration.pipeline | INFO | Dry-run mode: skipping file save and database load. Pipeline stops after validation.
2025-11-13 23:37:28,261 | src.orchestration.pipeline | INFO | Wrote run summary to C:\Users\devra\ecommerce-data-pipeline\logs\run_summary.json
2025-11-13 23:50:13,278 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=0
2025-11-13 23:50:13,293 | src.transformations.data_quality | INFO | Data quality summary: rows=1, columns=7, issues=1
2025-11-13 23:50:13,293 | src.transformations.data_quality | ERROR | Data quality issue: 1 rows with non-positive quantity
2025-11-13 23:50:13,293 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-13 23:50:13,293 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-13 23:50:13,293 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-13 23:50:13,310 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-13 23:50:13,311 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-13 23:50:13,311 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-13 23:50:13,311 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-13 23:50:13,311 | src.orchestration.pipeline | INFO | Dry-run mode: skipping file save and database load. Pipeline stops after validation.
2025-11-13 23:50:13,341 | src.orchestration.pipeline | INFO | Wrote run summary to C:\Users\devra\ecommerce-data-pipeline\logs\run_summary.json
2025-11-14 00:43:35,271 | __main__ | INFO | Starting pipeline (dry_run=True)
2025-11-14 00:43:35,271 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-14 00:43:35,286 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-14 00:43:35,286 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-14 00:43:35,286 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-14 00:43:35,286 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-14 00:43:35,286 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-14 00:43:35,286 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-14 00:43:35,286 | src.orchestration.pipeline | INFO | Dry-run mode: skipping file save and database load. Pipeline stops after validation.
2025-11-14 00:43:35,302 | src.orchestration.pipeline | INFO | Wrote run summary to C:\Users\devra\ecommerce-data-pipeline\logs\run_summary.json
2025-11-14 01:47:57,272 | __main__ | INFO | Starting pipeline (dry_run=False)
2025-11-14 01:47:57,272 | src.orchestration.pipeline | INFO | Step 1: Loading raw orders...
2025-11-14 01:47:57,272 | src.orchestration.pipeline | INFO | Loaded 5 raw rows.
2025-11-14 01:47:57,272 | src.orchestration.pipeline | INFO | Step 2: Transforming orders...
2025-11-14 01:47:57,272 | src.orchestration.pipeline | INFO | Transformed to 5 clean rows.
2025-11-14 01:47:57,272 | src.orchestration.pipeline | INFO | Step 3: Running data quality checks...
2025-11-14 01:47:57,287 | src.transformations.data_quality | INFO | Data quality summary: rows=5, columns=13, issues=0
2025-11-14 01:47:57,287 | src.orchestration.pipeline | INFO | Data quality checks passed.
2025-11-14 01:47:57,287 | src.orchestration.pipeline | INFO | Step 4: Saving processed CSV...
2025-11-14 01:47:57,287 | src.orchestration.pipeline | INFO | Saved processed data to C:\Users\devra\ecommerce-data-pipeline\data\processed\orders_clean.csv
2025-11-14 01:47:57,287 | src.orchestration.pipeline | INFO | Step 5: Creating schema...
2025-11-14 01:47:57,320 | src.orchestration.pipeline | INFO | Schema created (if not already present).
2025-11-14 01:47:57,320 | src.orchestration.pipeline | INFO | Step 6: Loading dimension tables...
2025-11-14 01:47:57,350 | src.orchestration.pipeline | INFO | Loaded dim_customers and dim_products.
2025-11-14 01:47:57,350 | src.orchestration.pipeline | INFO | Step 7: Loading fact_orders table...
2025-11-14 01:47:57,381 | src.orchestration.pipeline | INFO | Loaded fact_orders.
2025-11-14 01:47:57,381 | src.orchestration.pipeline | INFO | Table dim_customers row count: 4
2025-11-14 01:47:57,381 | src.orchestration.pipeline | INFO | Table dim_products row count: 4
2025-11-14 01:47:57,381 | src.orchestration.pipeline | INFO | Table fact_orders row count: 5
2025-11-14 01:47:57,381 | src.orchestration.pipeline | INFO | Wrote run summary to C:\Users\devra\ecommerce-data-pipeline\logs\run_summary.json
2025-11-14 01:47:57,381 | src.orchestration.pipeline | INFO | Pipeline completed successfully.
2025-11-14 01:49:56,925 | __main__ | INFO | Running analytics reports (limit=10)
2025-11-14 01:49:56,926 | src.analytics.reports | INFO | Generating analytics reports into C:\Users\devra\ecommerce-data-pipeline\reports
2025-11-14 01:49:56,941 | src.analytics.reports | INFO | Wrote C:\Users\devra\ecommerce-data-pipeline\reports\top_products_by_revenue.csv
